codeId		tcode		tablename					中文									英文														同义词	
DYAR1022		DYH001		农副产品零售价格					西红柿零售价格									TomatoRetailPrice														西红柿零售价格	
DYAR1023		DYH001		农副产品零售价格					黄瓜零售价格									CucumberRetailPrice														黄瓜零售价格	
DYAR1024		DYH001		农副产品零售价格					茄子零售价格									EggplantRetailPrice														茄子零售价格	
DYAR1025		DYH001		农副产品零售价格					辣椒零售价格									PepperRetailPrice														辣椒零售价格	
DYAR1026		DYH001		农副产品零售价格					青椒零售价格									GreenPepperRetailPrice														青椒零售价格	
DYAR1027		DYH001		农副产品零售价格					豆角零售价格									BeansRetailPrice														豆角零售价格	
DYAR1028		DYH001		农副产品零售价格					冬瓜零售价格									MelonRetailPrice														冬瓜零售价格	
DYAR1029		DYH001		农副产品零售价格					苦瓜零售价格									BitterRetailPrice														苦瓜零售价格	
DYAR1030		DYH001		农副产品零售价格					食盐零售价格									SaltRetailPrice														食盐零售价格	
DYAR1031		DYH001		农副产品零售价格					白条鸡零售价格									FreshWholeChickenRetailPrices														白条鸡零售价格	
DYAR1032		DYH001		农副产品零售价格					鲤鱼零售价格									CarpRetailPrice														鲤鱼零售价格	
DYAR1033		DYH001		农副产品零售价格					鲢鱼零售价格									ChubRetailPrice														鲢鱼零售价格	
DYAR1034		DYH001		农副产品零售价格					草鱼零售价格									RetailPriceOfGrassCarp														草鱼零售价格	
DYAR1035		DYH001		农副产品零售价格					鲫鱼零售价格									CarpRetailPrice														鲫鱼零售价格	
DYAR1036		DYH001		农副产品零售价格					大带鱼零售价格									BigOctopusRetailPrice														大带鱼零售价格	
DYAR1037		DYH001		农副产品零售价格					小带鱼零售价格									SmallOctopusRetailPrice														小带鱼零售价格	
DYAR1038		DYH001		农副产品零售价格					大黄花鱼零售价格									LargeYellowCroakerRetailPrice														大黄花鱼零售价格	
DYAR1039		DYH001		农副产品零售价格					小黄花鱼零售价格									SmallYellowCroakerRetailPrice														小黄花鱼零售价格	
DYAR1040		DYH001		农副产品零售价格					苹果零售价格									AppleRetailPrice														苹果零售价格	
DYAR1041		DYH001		农副产品零售价格					香蕉零售价格									BananaRetailPrice														香蕉零售价格	
DYAR1042		DYH001		农副产品零售价格					葡萄零售价格									GrapeRetailPrice														葡萄零售价格	
DYAR1043		DYH001		农副产品零售价格					菠萝零售价格									PineappleRetailPrice														菠萝零售价格	
DYAR1044		DYH001		农副产品零售价格					鸭梨零售价格									PearRetailPrice														鸭梨零售价格	
DYAR1045		DYH001		农副产品零售价格					西瓜零售价格									WatermelonRetailPrice														西瓜零售价格	
DYAR1046		DYH001		农副产品零售价格					牛奶零售价格									TheRetailPriceOfMilk														牛奶零售价格	
DYAR1047		DYH001		农副产品零售价格					酸奶零售价格									YogurtRetailPrice														酸奶零售价格	
DYAR1048		DYH001		农副产品零售价格					国外品牌婴幼儿奶粉零售价格									ForeignBrandsOfInfantFormulaRetailPrice														国外品牌婴幼儿奶粉零售价格	
DYAR1049		DYH001		农副产品零售价格					国产品牌婴幼儿奶粉零售价格									DomesticBrandsOfInfantFormulaRetailPrice														国产品牌婴幼儿奶粉零售价格	
DYAR1050		DYH001		农副产品零售价格					成人奶粉零售价格									AdultMilkRetailPrice														成人奶粉零售价格	
DYAR1051		DYH001		农副产品零售价格					日期									Date														日期	
DYH002		DYH002		动态分析					动态分析									consumeIndexFeed														动态分析	
DYCN2001		DYH002		动态分析					标题									NewsTitle														标题	
DYCN2002		DYH002		动态分析					文章来源									ArticleSource														文章来源	
DYCN2003		DYH002		动态分析					发布时间									ReleaseTime														发布时间	
DYCN2004		DYH002		动态分析					文章内容									ArticleDetails														文章内容	
DYCN2005		DYH002		动态分析					关键词									ArticleKeywords														关键词	
DYH003		DYH003		居民消费价格指数表					居民消费价格指数表									ConsumerPriceIndex														居民消费价格指数表	
DYCP3001		DYH003		居民消费价格指数表					信息发布日期									InfoPublDate														信息发布日期	
DYCP3002		DYH003		居民消费价格指数表					信息来源									InfoSource														信息来源	
DYCP3003		DYH003		居民消费价格指数表					居民消费价格指数									CPI														居民消费价格指数	
DYCP3004		DYH003		居民消费价格指数表					食品居民消费价格指数									CPIFood														食品居民消费价格指数	
DYCP3005		DYH003		居民消费价格指数表					烟酒及用品居民消费价格指数									CPITobacco														烟酒及用品居民消费价格指数	
DYCP3006		DYH003		居民消费价格指数表					衣着居民消费价格指数									CPIClothing														衣着居民消费价格指数	
DYCP3007		DYH003		居民消费价格指数表					家庭设备用品及维修服务居民消费价格指数									CPIHouseholdEquipmentService														家庭设备用品及维修服务居民消费价格指数	
DYCP3008		DYH003		居民消费价格指数表					医疗保健和个人用品居民消费价格指数									CPIHealthCare														医疗保健和个人用品居民消费价格指数	
DYCP3009		DYH003		居民消费价格指数表					交通和通信居民消费价格指数									CPITransAndCommunication														交通和通信居民消费价格指数	
DYCP3010		DYH003		居民消费价格指数表					娱乐教育文化用品及服务居民消费价格指数									CPIEntertainmentService														娱乐教育文化用品及服务居民消费价格指数	
DYCP3011		DYH003		居民消费价格指数表					居住居民消费价格指数									CPIHousing														居住居民消费价格指数	
DYH004		DYH004		全社会客货运输量					全社会客货运输量									PassengerAndFreightTransportAmount														全社会客货运输量	
DYPF4001		DYH004		全社会客货运输量					货运量合计:单位									FreightTransportAmount														货运量合计:单位	
DYPF4002		DYH004		全社会客货运输量					货运量合计:铁路:单位									FreightTransportAmount:Rail														货运量合计[5_6]:铁路:单位	
DYPF4003		DYH004		全社会客货运输量					货运量合计:公路:单位									FreightTransportAmount:Road														货运量合计[5_6]:公路:单位	
DYPF4004		DYH004		全社会客货运输量					货运量合计:水运:单位									FreightTransportAmount:Sail														货运量合计[5_6]:水运:单位	
DYPF4005		DYH004		全社会客货运输量					货运量合计:民航:单位									FreightTransportAmount:CivilAviation														货运量合计[5_6]:民航:单位	
DYPF4006		DYH004		全社会客货运输量					货物周转量合计:单位									FreightTurnovers														货物周转量合计:单位	
DYPF4007		DYH004		全社会客货运输量					货物周转量合计:铁路:单位									FreightTurnovers:Rail														货物周转量合计[5_6]:铁路:单位	
DYPF4008		DYH004		全社会客货运输量					货物周转量合计:公路:单位									FreightTurnovers:Road														货物周转量合计[5_6]:公路:单位	
DYPF4009		DYH004		全社会客货运输量					货物周转量合计:水运:单位									FreightTurnovers:Sail														货物周转量合计[5_6]:水运:单位	
DYPF4010		DYH004		全社会客货运输量					货物周转量合计:民航:单位									FreightTurnovers:CivilAviation														货物周转量合计[5_6]:民航:单位	
DYPF4011		DYH004		全社会客货运输量					客运量合计:单位									PassengerTransportAmount														客运量合计:单位	
DYPF4012		DYH004		全社会客货运输量					客运量合计:铁路:单位									PassengerTransportAmount:Rail														客运量合计[5_6]:铁路:单位	
DYPF4013		DYH004		全社会客货运输量					客运量合计:公路:单位									PassengerTransportAmount:Road														客运量合计[5_6]:公路:单位	
DYPF4014		DYH004		全社会客货运输量					客运量合计:水运:单位									PassengerTransportAmount:Sail														客运量合计[5_6]:水运:单位	
DYPF4015		DYH004		全社会客货运输量					客运量合计:民航:单位									PassengerTransportAmount:CivilAviation														客运量合计[5_6]:民航:单位	
DYPF4016		DYH004		全社会客货运输量					旅客周转量合计:单位									PassengerTurnovers														旅客周转量合计:单位	
DYPF4017		DYH004		全社会客货运输量					旅客周转量合计:铁路:单位									PassengerTurnovers:Rail														旅客周转量合计[5_6]:铁路:单位	
DYPF4018		DYH004		全社会客货运输量					旅客周转量合计:公路:单位									PassengerTurnovers:Road														旅客周转量合计[5_6]:公路:单位	
DYPF4019		DYH004		全社会客货运输量					旅客周转量合计:水运:单位									PassengerTurnovers:Sail														旅客周转量合计[5_6]:水运:单位	
DYPF4020		DYH004		全社会客货运输量					旅客周转量合计:民航:单位									PassengerTurnovers:CivilAviation														旅客周转量合计[5_6]:民航:单位	
DYPF4021		DYH004		全社会客货运输量					沿海规模以上港口货物吞吐量:单位									PortCargoThroughput														沿海规模以上港口货物吞吐量:单位	
DYPF4022		DYH004		全社会客货运输量					沿海规模以上港口货物吞吐量:其中:外贸货物吞吐量:单位									PortCargoThroughput:ForeignTradeCargoThroughput														其中:外贸货物吞吐量:单位	
DYPF4023		DYH004		全社会客货运输量					货运量合计:月									Cargo:Monthly														货运量合计:月	
DYPF4024		DYH004		全社会客货运输量					货运量合计:铁路:月									Cargo:Rail:Monthly														货运量合计[5_6]:铁路:月	
DYPF4025		DYH004		全社会客货运输量					货运量合计:公路:月									Cargo:Highway:Monthly														货运量合计[5_6]:公路:月	
DYPF4026		DYH004		全社会客货运输量					货运量合计:水运:月									Cargo:Shipping:Month														货运量合计[5_6]:水运:月	
DYPF4027		DYH004		全社会客货运输量					货运量合计:民航:月									Cargo:Aviation:Monthly														货运量合计[5_6]:民航:月	
DYPF4028		DYH004		全社会客货运输量					货物周转量合计:月									FreightTurnover:Monthly														货物周转量合计:月	
DYPF4029		DYH004		全社会客货运输量					货物周转量合计:铁路:月									CargoTurnover:Railways:Monthly														货物周转量合计[5_6]:铁路:月	
DYPF4030		DYH004		全社会客货运输量					货物周转量合计:公路:月									CargoTurnover:Highway:Monthly														货物周转量合计[5_6]:公路:月	
DYPF4031		DYH004		全社会客货运输量					货物周转量合计:水运:月									CargoTurnover:Water:Monthly														货物周转量合计[5_6]:水运:月	
DYPF4032		DYH004		全社会客货运输量					货物周转量合计:民航:月									CargoTurnover:Aviation:Monthly														货物周转量合计[5_6]:民航:月	
DYPF4033		DYH004		全社会客货运输量					客运量合计:月									PassengerCapacity:Month														客运量合计:月	
DYPF4034		DYH004		全社会客货运输量					客运量合计:铁路:月									PassengerTraffic:Railway:May														客运量合计[5_6]:铁路:月	
DYPF4035		DYH004		全社会客货运输量					客运量合计:公路:月									PassengerCapacity:Highway:Monthly														客运量合计[5_6]:公路:月	
DYPF4036		DYH004		全社会客货运输量					客运量合计:水运:月									PassengerCapacity:Water:Month														客运量合计[5_6]:水运:月	
DYPF4037		DYH004		全社会客货运输量					客运量合计:民航:月									PassengerCapacity:Aviation:Monthly														客运量合计[5_6]:民航:月	
DYPF4038		DYH004		全社会客货运输量					旅客周转量合计:月									Rpk:Monthly														旅客周转量合计:月	
DYPF4039		DYH004		全社会客货运输量					旅客周转量合计:铁路:月									Rpk:Railways:Monthly														旅客周转量合计[5_6]:铁路:月	
DYPF4040		DYH004		全社会客货运输量					旅客周转量合计:公路:月									Rpk:Highway:Monthly														旅客周转量合计[5_6]:公路:月	
DYPF4041		DYH004		全社会客货运输量					旅客周转量合计:水运:月									Rpk:Water:Month														旅客周转量合计[5_6]:水运:月	
DYPF4042		DYH004		全社会客货运输量					旅客周转量合计:民航:月									Rpk:Aviation:Monthly														旅客周转量合计[5_6]:民航:月	
DYPF4043		DYH004		全社会客货运输量					沿海规模以上港口货物吞吐量:月									PortCargoThroughput:Monthly														沿海规模以上港口货物吞吐量:月	
DYPF4044		DYH004		全社会客货运输量					沿海规模以上港口货物吞吐量:其中:外贸货物吞吐量:月									PortCargoThroughput:ForeignTradeCargoThroughput:Monthly														其中:外贸货物吞吐量:月	
DYPF4045		DYH004		全社会客货运输量					货运量合计:比上年同月增长%									Cargo:MonthYear														货运量合计:比上年同月增长%	
DYPF4046		DYH004		全社会客货运输量					货运量合计:铁路:比上年同月增长%									Cargo:Railway:MayIncrease														货运量合计[5_6]:铁路:比上年同月增长%	
DYPF4047		DYH004		全社会客货运输量					货运量合计:公路:比上年同月增长%									Cargo:Highway:MonthYear														货运量合计[5_6]:公路:比上年同月增长%	
DYPF4048		DYH004		全社会客货运输量					货运量合计:水运:比上年同月增长%									Cargo:Shipping:MayIncrease														货运量合计[5_6]:水运:比上年同月增长%	
DYPF4049		DYH004		全社会客货运输量					货运量合计:民航:比上年同月增长%									Cargo:Aviation:MonthYear														货运量合计[5_6]:民航:比上年同月增长%	
DYPF4050		DYH004		全社会客货运输量					货物周转量合计:比上年同月增长%									FreightTurnover:MayIncrease														货物周转量合计:比上年同月增长%	
DYPF4051		DYH004		全社会客货运输量					货物周转量合计:铁路:比上年同月增长%									CargoTurnover:Railway:MayIncrease														货物周转量合计[5_6]:铁路:比上年同月增长%	
DYPF4052		DYH004		全社会客货运输量					货物周转量合计:公路:比上年同月增长%									CargoTurnover:Highways:MayIncrease														货物周转量合计[5_6]:公路:比上年同月增长%	
DYPF4053		DYH004		全社会客货运输量					货物周转量合计:水运:比上年同月增长%									CargoTurnover:Water:MayIncrease														货物周转量合计[5_6]:水运:比上年同月增长%	
DYPF4054		DYH004		全社会客货运输量					货物周转量合计:民航:比上年同月增长%									CargoTurnover:Aviation:MayIncrease														货物周转量合计[5_6]:民航:比上年同月增长%	
DYPF4055		DYH004		全社会客货运输量					客运量合计:比上年同月增长%									PassengerCapacity:MayIncrease														客运量合计:比上年同月增长%	
DYPF4056		DYH004		全社会客货运输量					客运量合计:铁路:比上年同月增长%									PassengerTraffic:Railway:MayIncrease														客运量合计[5_6]:铁路:比上年同月增长%	
DYPF4057		DYH004		全社会客货运输量					客运量合计:公路:比上年同月增长%									PassengerCapacity:Highway:MonthYear														客运量合计[5_6]:公路:比上年同月增长%	
DYPF4058		DYH004		全社会客货运输量					客运量合计:水运:比上年同月增长%									PassengerCapacity:Water:MayIncrease														客运量合计[5_6]:水运:比上年同月增长%	
DYPF4059		DYH004		全社会客货运输量					客运量合计:民航:比上年同月增长%									PassengerCapacity:Aviation:MonthYear														客运量合计[5_6]:民航:比上年同月增长%	
DYPF4060		DYH004		全社会客货运输量					旅客周转量合计:比上年同月增长%									Rpk:MonthYear														旅客周转量合计:比上年同月增长%	
DYPF4061		DYH004		全社会客货运输量					旅客周转量合计:铁路:比上年同月增长%									Rpk:Railway:MayIncrease														旅客周转量合计[5_6]:铁路:比上年同月增长%	
DYPF4062		DYH004		全社会客货运输量					旅客周转量合计:公路:比上年同月增长%									Rpk:Highway:MonthYear														旅客周转量合计[5_6]:公路:比上年同月增长%	
DYPF4063		DYH004		全社会客货运输量					旅客周转量合计:水运:比上年同月增长%									Rpk:Water:MayIncrease														旅客周转量合计[5_6]:水运:比上年同月增长%	
DYPF4064		DYH004		全社会客货运输量					旅客周转量合计:民航:比上年同月增长%									Rpk:Aviation:MayIncrease														旅客周转量合计[5_6]:民航:比上年同月增长%	
DYPF4065		DYH004		全社会客货运输量					沿海规模以上港口货物吞吐量:比上年同月增长%									PortCargoThroughput:MonthYear														沿海规模以上港口货物吞吐量:比上年同月增长%	
DYPF4066		DYH004		全社会客货运输量					沿海规模以上港口货物吞吐量:其中:外贸货物吞吐量:比上年同月增长%									PortCargoThroughput:ForeignTradeCargoThroughput:MonthYear														其中:外贸货物吞吐量:比上年同月增长%	
DYPF4067		DYH004		全社会客货运输量					货运量合计:累计月									Cargo:AccumulatedMonth														货运量合计:累计月	
DYPF4068		DYH004		全社会客货运输量					货运量合计:铁路:累计月									Cargo:Railways:AccumulatedMonth														货运量合计[5_6]:铁路:累计月	
DYPF4069		DYH004		全社会客货运输量					货运量合计:公路:累计月									Cargo:Highway:AccumulatedMonth														货运量合计[5_6]:公路:累计月	
DYPF4070		DYH004		全社会客货运输量					货运量合计:水运:累计月									Cargo:Shipping:CumulativeMonth														货运量合计[5_6]:水运:累计月	
DYPF4071		DYH004		全社会客货运输量					货运量合计:民航:累计月									Cargo:Aviation:AccumulatedMonth														货运量合计[5_6]:民航:累计月	
DYPF4072		DYH004		全社会客货运输量					货物周转量合计:累计月									FreightTurnover:AccumulatedMonth														货物周转量合计:累计月	
DYPF4073		DYH004		全社会客货运输量					货物周转量合计:铁路:累计月									CargoTurnover:Railways:AccumulatedMonth														货物周转量合计[5_6]:铁路:累计月	
DYPF4074		DYH004		全社会客货运输量					货物周转量合计:公路:累计月									CargoTurnover:Highway:AccumulatedMonth														货物周转量合计[5_6]:公路:累计月	
DYPF4075		DYH004		全社会客货运输量					货物周转量合计:水运:累计月									CargoTurnover:Water:AccumulatedMonth														货物周转量合计[5_6]:水运:累计月	
DYPF4076		DYH004		全社会客货运输量					货物周转量合计:民航:累计月									CargoTurnover:Aviation:AccumulatedMonth														货物周转量合计[5_6]:民航:累计月	
DYPF4077		DYH004		全社会客货运输量					客运量合计:累计月									PassengerCapacity:AccumulatedMonths														客运量合计:累计月	
DYPF4078		DYH004		全社会客货运输量					客运量合计:铁路:累计月									PassengerCapacity:Railways:AccumulatedMonth														客运量合计[5_6]:铁路:累计月	
DYPF4079		DYH004		全社会客货运输量					客运量合计:公路:累计月									PassengerCapacity:Highway:AccumulatedMonth														客运量合计[5_6]:公路:累计月	
DYPF4080		DYH004		全社会客货运输量					客运量合计:水运:累计月									PassengerCapacity:Water:CumulativeMonths														客运量合计[5_6]:水运:累计月	
DYPF4081		DYH004		全社会客货运输量					客运量合计:民航:累计月									PassengerCapacity:Aviation:AccumulatedMonth														客运量合计[5_6]:民航:累计月	
DYPF4082		DYH004		全社会客货运输量					旅客周转量合计:累计月									Rpk:AccumulatedMonth														旅客周转量合计:累计月	
DYPF4083		DYH004		全社会客货运输量					旅客周转量合计:铁路:累计月									Rpk:Railways:AccumulatedMonth														旅客周转量合计[5_6]:铁路:累计月	
DYPF4084		DYH004		全社会客货运输量					旅客周转量合计:公路:累计月									Rpk:Highway:AccumulatedMonth														旅客周转量合计[5_6]:公路:累计月	
DYPF4085		DYH004		全社会客货运输量					旅客周转量合计:水运:累计月									Rpk:Water:CumulativeMonths														旅客周转量合计[5_6]:水运:累计月	
DYPF4086		DYH004		全社会客货运输量					旅客周转量合计:民航:累计月									Rpk:Aviation:AccumulatedMonth														旅客周转量合计[5_6]:民航:累计月	
DYPF4087		DYH004		全社会客货运输量					沿海规模以上港口货物吞吐量:累计月									PortCargoThroughput:AccumulatedMonth														沿海规模以上港口货物吞吐量:累计月	
DYPF4088		DYH004		全社会客货运输量					沿海规模以上港口货物吞吐量:其中:外贸货物吞吐量:累计月									PortCargoThroughput:ForeignTradeCargoThroughput:AccumulatedMonth														其中:外贸货物吞吐量:累计月	
DYPF4089		DYH004		全社会客货运输量					货运量合计:比上年同期增长%									Cargo:EarlierThan														货运量合计:比上年同期增长%	
DYPF4090		DYH004		全社会客货运输量					货运量合计:铁路:比上年同期增长%									Cargo:Railway:EarlierThan														货运量合计[5_6]:铁路:比上年同期增长%	
DYPF4091		DYH004		全社会客货运输量					货运量合计:公路:比上年同期增长%									Cargo:Highway:EarlierThan														货运量合计[5_6]:公路:比上年同期增长%	
DYPF4092		DYH004		全社会客货运输量					货运量合计:水运:比上年同期增长%									Cargo:Shipping:EarlierThan														货运量合计[5_6]:水运:比上年同期增长%	
DYPF4093		DYH004		全社会客货运输量					货运量合计:民航:比上年同期增长%									Cargo:Aviation:EarlierThan														货运量合计[5_6]:民航:比上年同期增长%	
DYPF4094		DYH004		全社会客货运输量					货物周转量合计:比上年同期增长%									CargoTurnover:OverTheSamePeriod														货物周转量合计:比上年同期增长%	
DYPF4095		DYH004		全社会客货运输量					货物周转量合计:铁路:比上年同期增长%									CargoTurnover:Railway:EarlierThan														货物周转量合计[5_6]:铁路:比上年同期增长%	
DYPF4096		DYH004		全社会客货运输量					货物周转量合计:公路:比上年同期增长%									CargoTurnover:Highway:EarlierThan														货物周转量合计[5_6]:公路:比上年同期增长%	
DYPF4097		DYH004		全社会客货运输量					货物周转量合计:水运:比上年同期增长%									CargoTurnover:Water:MoreThanTheSamePeriod														货物周转量合计[5_6]:水运:比上年同期增长%	
DYPF4098		DYH004		全社会客货运输量					货物周转量合计:民航:比上年同期增长%									CargoTurnover:Aviation:EarlierThan														货物周转量合计[5_6]:民航:比上年同期增长%	
DYPF4099		DYH004		全社会客货运输量					客运量合计:比上年同期增长%									PassengerCapacity:EarlierThan														客运量合计:比上年同期增长%	
DYPF4100		DYH004		全社会客货运输量					客运量合计:铁路:比上年同期增长%									PassengerTraffic:Railway:EarlierThan														客运量合计[5_6]:铁路:比上年同期增长%	
DYPF4101		DYH004		全社会客货运输量					客运量合计:公路:比上年同期增长%									PassengerCapacity:Highway:EarlierThan														客运量合计[5_6]:公路:比上年同期增长%	
DYPF4102		DYH004		全社会客货运输量					客运量合计:水运:比上年同期增长%									PassengerCapacity:Water:MoreThanTheSamePeriod														客运量合计[5_6]:水运:比上年同期增长%	
DYPF4103		DYH004		全社会客货运输量					客运量合计:民航:比上年同期增长%									PassengerCapacity:Aviation:EarlierThan														客运量合计[5_6]:民航:比上年同期增长%	
DYPF4104		DYH004		全社会客货运输量					旅客周转量合计:比上年同期增长%									Rpk:EarlierThan														旅客周转量合计:比上年同期增长%	
DYPF4105		DYH004		全社会客货运输量					旅客周转量合计:铁路:比上年同期增长%									Rpk:Railway:EarlierThan														旅客周转量合计[5_6]:铁路:比上年同期增长%	
DYPF4106		DYH004		全社会客货运输量					旅客周转量合计:公路:比上年同期增长%									Rpk:Highway:EarlierThan														旅客周转量合计[5_6]:公路:比上年同期增长%	
DYPF4107		DYH004		全社会客货运输量					旅客周转量合计:水运:比上年同期增长%									Rpk:Water:MoreThanTheSamePeriod														旅客周转量合计[5_6]:水运:比上年同期增长%	
DYPF4108		DYH004		全社会客货运输量					旅客周转量合计:民航:比上年同期增长%									Rpk:Aviation:EarlierThan														旅客周转量合计[5_6]:民航:比上年同期增长%	
DYPF4109		DYH004		全社会客货运输量					沿海规模以上港口货物吞吐量:比上年同期增长%									PortCargoThroughput:OverTheSamePeriod														沿海规模以上港口货物吞吐量:比上年同期增长%	
DYPF4110		DYH004		全社会客货运输量					沿海规模以上港口货物吞吐量:其中:外贸货物吞吐量:比上年同期增长%									PortCargoThroughput:ForeignTradeCargoThroughput:OverTheSamePeriod														其中:外贸货物吞吐量:比上年同期增长%	
DYH005		DYH005		公路货物运输量					公路货物运输量									HighwayFreight														公路货物运输量	
DYHF5001		DYH005		公路货物运输量					公路:货运量:自年初:累计:总计									HighwayFreight:Total														公路:货运量:自年初:累计:总计	
DYHF5002		DYH005		公路货物运输量					公路:货运量:自年初:累计:北京									HighwayFreight:Beijing														公路:货运量:自年初:累计:北京	
DYHF5003		DYH005		公路货物运输量					公路:货运量:自年初:累计:天津									HighwayFreight:Tianjin														公路:货运量:自年初:累计:天津	
DYHF5004		DYH005		公路货物运输量					公路:货运量:自年初:累计:河北									HighwayFreight:Hebei														公路:货运量:自年初:累计:河北	
DYHF5005		DYH005		公路货物运输量					公路:货运量:自年初:累计:山西									HighwayFreight:Shanxi														公路:货运量:自年初:累计:山西	
DYHF5006		DYH005		公路货物运输量					公路:货运量:自年初:累计:内蒙古									HighwayFreight:InnerMongolia														公路:货运量:自年初:累计:内蒙古	
DYHF5007		DYH005		公路货物运输量					公路:货运量:自年初:累计:辽宁									HighwayFreight:LiaoningProvince														公路:货运量:自年初:累计:辽宁	
DYHF5008		DYH005		公路货物运输量					公路:货运量:自年初:累计:吉林									HighwayFreight:Jilin														公路:货运量:自年初:累计:吉林	
DYHF5009		DYH005		公路货物运输量					公路:货运量:自年初:累计:黑龙江									HighwayFreight:Heilongjiang														公路:货运量:自年初:累计:黑龙江	
DYHF5010		DYH005		公路货物运输量					公路:货运量:自年初:累计:上海									HighwayFreight:Shanghai														公路:货运量:自年初:累计:上海	
DYHF5011		DYH005		公路货物运输量					公路:货运量:自年初:累计:江苏									HighwayFreight:JiangsuProvince														公路:货运量:自年初:累计:江苏	
DYHF5012		DYH005		公路货物运输量					公路:货运量:自年初:累计:浙江									HighwayFreight:Zhejiang														公路:货运量:自年初:累计:浙江	
DYHF5013		DYH005		公路货物运输量					公路:货运量:自年初:累计:安徽									HighwayFreight:Anhui														公路:货运量:自年初:累计:安徽	
DYHF5014		DYH005		公路货物运输量					公路:货运量:自年初:累计:福建									HighwayFreight:FujianProvince														公路:货运量:自年初:累计:福建	
DYHF5015		DYH005		公路货物运输量					公路:货运量:自年初:累计:江西									HighwayFreight:JiangxiProvince														公路:货运量:自年初:累计:江西	
DYHF5016		DYH005		公路货物运输量					公路:货运量:自年初:累计:山东									HighwayFreight:Shandong														公路:货运量:自年初:累计:山东	
DYHF5017		DYH005		公路货物运输量					公路:货运量:自年初:累计:河南									HighwayFreight:Henan														公路:货运量:自年初:累计:河南	
DYHF5018		DYH005		公路货物运输量					公路:货运量:自年初:累计:湖北									HighwayFreight:Hubei														公路:货运量:自年初:累计:湖北	
DYHF5019		DYH005		公路货物运输量					公路:货运量:自年初:累计:湖南									HighwayFreight:Hunan														公路:货运量:自年初:累计:湖南	
DYHF5020		DYH005		公路货物运输量					公路:货运量:自年初:累计:广东									HighwayFreight:Guangdong														公路:货运量:自年初:累计:广东	
DYHF5021		DYH005		公路货物运输量					公路:货运量:自年初:累计:广西									HighwayFreight:Guangxi														公路:货运量:自年初:累计:广西	
DYHF5022		DYH005		公路货物运输量					公路:货运量:自年初:累计:海南									HighwayFreight:Hainan														公路:货运量:自年初:累计:海南	
DYHF5023		DYH005		公路货物运输量					公路:货运量:自年初:累计:重庆									HighwayFreight:Chongqing														公路:货运量:自年初:累计:重庆	
DYHF5024		DYH005		公路货物运输量					公路:货运量:自年初:累计:四川									HighwayFreight:SichuanProvince														公路:货运量:自年初:累计:四川	
DYHF5025		DYH005		公路货物运输量					公路:货运量:自年初:累计:贵州									HighwayFreight:Guizhou														公路:货运量:自年初:累计:贵州	
DYHF5026		DYH005		公路货物运输量					公路:货运量:自年初:累计:云南									HighwayFreight:Yunnan														公路:货运量:自年初:累计:云南	
